Process,Total project,Project using latest,Total Dockerfile,Dockerfile using latest,Number of changes pinned to latest,Number of changes latest to pinned,File not found or error,Repo not found
85,96,27,196,54,0,2,0,127
127,80,29,163,49,0,0,0,176
55,101,35,255,51,2,4,0,133
110,83,29,265,68,0,0,0,166
59,95,34,170,72,2,1,0,148
121,80,20,398,276,0,0,0,161
114,97,26,157,41,2,2,0,141
91,95,33,161,57,0,2,0,132
117,85,27,142,37,1,2,0,151
48,90,29,293,72,0,0,0,138
75,101,35,213,56,0,2,0,121
72,96,26,151,62,1,3,0,127
53,100,39,482,331,0,0,0,126
89,97,25,201,53,0,1,0,129
125,73,24,115,32,1,3,0,149
0,97,38,405,170,1,0,0,136
21,104,31,367,49,0,1,0,119
112,93,23,203,40,2,1,0,156
122,83,26,133,44,1,1,0,142
33,105,36,236,61,0,1,0,132
50,92,37,245,76,0,0,0,144
126,96,33,196,55,1,1,0,161
123,105,39,128,44,1,1,0,138
94,96,29,185,77,1,0,0,163
107,98,30,223,56,2,2,0,148
101,109,32,363,113,1,1,0,140
8,95,37,2376,246,1,2,0,154
36,75,21,229,23,0,1,0,152
88,91,21,308,54,0,1,0,127
80,95,34,179,45,1,0,0,132
5,99,33,491,57,0,1,0,123
135,102,26,131,41,2,1,0,123
47,95,25,150,31,1,1,0,143
146,95,24,138,41,2,2,0,111
65,84,28,229,82,0,1,0,139
109,89,30,206,59,1,2,0,146
118,106,33,339,56,0,3,0,135
84,122,41,328,132,2,0,0,120
79,98,25,375,35,0,0,0,130
38,98,37,193,53,3,2,0,139
1,99,36,431,148,0,1,0,136
164,110,30,224,47,0,2,0,110
169,111,37,190,86,4,4,0,87
161,109,41,220,72,0,3,0,101
83,105,25,186,40,0,2,0,115
162,110,39,189,65,1,3,0,124
49,98,30,236,40,1,2,0,123
86,104,30,188,47,1,1,0,125
119,87,24,189,55,1,1,0,146
92,102,33,213,65,0,3,0,135
4,96,21,323,115,0,1,0,130
111,86,31,169,42,1,1,0,152
3,99,35,179,63,1,0,0,132
2,87,35,497,133,2,3,0,136
156,100,22,194,52,1,1,0,105
32,103,38,340,91,3,2,0,127
20,112,39,255,105,2,1,0,99
157,101,20,213,46,1,2,0,118
160,83,31,181,65,0,2,0,109
62,95,37,249,78,0,0,0,131
74,96,34,161,57,1,0,0,125
144,110,33,190,57,0,2,0,88
120,95,35,163,66,2,2,0,137
73,97,41,225,69,0,1,0,130
52,109,39,321,134,0,3,0,124
171,115,36,190,58,1,2,0,105
104,96,29,235,103,1,3,0,138
46,95,34,184,45,1,0,0,146
172,126,39,244,64,0,0,0,102
96,91,29,268,34,1,1,0,155
19,107,27,317,46,0,0,0,126
41,92,32,457,161,0,0,0,130
31,103,28,294,90,1,0,0,126
14,108,36,608,87,1,2,0,116
11,121,42,432,106,1,1,0,100
113,85,28,199,81,0,3,0,128
26,88,24,266,87,1,1,0,120
