Process,Total project,Project using latest,Total Dockerfile,Dockerfile using latest,Number of changes pinned to latest,Number of changes latest to pinned,File not found or error,Repo not found
43,5644,1736,7541,2146,16,33,3,1928
42,5601,1715,7607,1952,16,24,0,1971
31,6386,2089,10156,2636,10,23,0,1186
44,5692,1775,7993,2217,17,28,2,1880
33,6283,1977,9259,2866,19,32,1,1289
47,6501,2030,9482,2689,17,42,0,1071
41,5972,1890,8404,2492,13,33,0,1600
2,4940,1652,34628,3344,13,18,1,2633
27,6309,1984,9146,2401,9,27,5,1263
11,5254,1699,8667,2659,17,25,1,2319
4,4936,1609,10773,2958,13,19,0,2637
15,4912,1599,7294,2114,7,22,0,2661
35,6227,1960,9420,2547,17,33,2,1345
26,6401,2045,10458,2742,13,20,0,1171
0,5080,1735,29915,3856,14,17,0,2493
37,6620,2073,10043,2863,13,33,3,952
40,6239,1972,9199,2446,18,38,3,1333
36,5880,1783,9181,2394,15,34,1,1692
10,5460,1772,9264,2714,17,19,2,2113
30,6432,2027,9556,2612,14,27,1,1140
18,5237,1642,7670,2186,8,35,0,2335
32,6316,2047,9459,2653,16,31,0,1256
28,6263,1940,9331,2618,17,39,1,1309
14,5298,1685,14518,2464,11,19,0,2275
29,6425,2043,9118,2484,10,22,0,1147
38,6619,2080,9876,2838,20,32,1,953
6,5080,1705,9249,2763,12,31,3,2493
12,5300,1796,8911,2482,13,33,4,2273
3,5054,1661,10933,2867,6,15,0,2519
8,5607,1841,10216,2851,18,22,0,1966
9,5582,1822,11572,2914,13,26,0,1991
20,6172,2001,9312,2698,13,36,1,1400
7,5680,1806,10367,2867,8,29,2,1893
34,6246,1937,17409,3129,27,42,1,1326
21,6017,1920,9476,2734,18,28,1,1555
19,6207,1922,9448,2632,19,26,0,1365
23,6096,1946,8897,2427,13,23,0,1476
45,6129,1925,9356,2580,15,30,1,1443
24,6473,2085,10358,2814,12,21,2,1099
17,4770,1537,8961,2109,12,23,2,2802
1,5128,1718,13631,3472,17,22,0,2445
13,5470,1748,8935,2673,17,27,0,2103
22,6075,1880,9116,2475,16,38,0,1497
25,6374,2022,9995,3122,16,30,4,1198
5,4712,1541,9904,2654,15,29,0,2861
46,6561,2059,11910,3817,23,47,0,1011
39,6646,2107,9979,2844,16,36,3,926
16,4874,1578,7658,2101,15,23,1,2698
192,1565,471,2452,641,8,9,0,328
193,1554,549,5837,1839,13,20,2,339
196,1701,588,8991,2735,42,54,0,192
198,1710,510,40227,1797,33,44,1,183
194,1652,607,12453,3514,41,72,0,241
197,1715,571,7812,2351,37,59,0,178
199,1752,619,9785,2185,48,63,0,141
195,1650,544,7027,2081,24,57,0,243
